ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Traces_of_processing,Phase,inside,outside
2111,TYa2357,2357,石名田木舟遺跡,Toyama,C-SD3535,TK,9,2.2,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,,
2112,TYa2358,2358,石名田木舟遺跡,Toyama,C-SD3535,TK,9.4,2.3,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,,
2113,TYa2362,2362,石名田木舟遺跡,Toyama,C-SD3691,TK,9.2,2.4,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,,
2114,TYa2363,2363,石名田木舟遺跡,Toyama,C-SD3691,TK,10.4,2.2,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,,
2115,TYa2364,2364,石名田木舟遺跡,Toyama,C-SD3691,TI,9,2.1,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,,
2116,TYa2365,2365,石名田木舟遺跡,Toyama,C-SD3691,TI,9.2,1.9,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,,
2117,TYa2366,2366,石名田木舟遺跡,Toyama,C-SD3691,TK,9.6,2.3,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,,
2118,TYa2380,2380,石名田木舟遺跡,Toyama,B2-SD1985,TK,8.9,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,,
2119,TYa2515,2515,石名田木舟遺跡,Toyama,B2-SK1843,TK,8.5,2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,,
2120,TYa2676,2676,石名田木舟遺跡,Toyama,B2-SK1441,TK,8.7,2.1,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,,
2121,TYa2677,2677,石名田木舟遺跡,Toyama,B2-SK1441,TK,9.2,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,,
2122,TYa2678,2678,石名田木舟遺跡,Toyama,B2-SK1441,TK,12.2,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,,
2123,TYa2684,2684,石名田木舟遺跡,Toyama,B2-SK1477,TK,13.4,2.1,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,,
2124,TYa2700,2700,石名田木舟遺跡,Toyama,B2-SK1700,TK,8.6,2.1,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,体部：D字ナデ→見込：指ナデ、口縁：横ナデ,口縁：横ナデ
2125,TYa2703,2703,石名田木舟遺跡,Toyama,B2-SK1723,TI,14.9,2.5,（財）富山県文化振興財団2002,TRUE,,,見込：一方向ナデ→体部：横ナデ→口縁：横ナデ,口縁：横ナデ
2126,TYa2719,2719,石名田木舟遺跡,Toyama,B2-SK2037,TK,9.1,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,見込：一方向ナデ・指ナデ、体部：横ナデ（不明）、口縁：横ナデ,口縁：横ナデ
