ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Traces_of_processing,Phase
2161,TYc084,84,仏生寺城跡（2000）,Toyama,SD06,TJ,9.4,1.8,,TRUE,,15世期後半
2162,TYc085,85,仏生寺城跡（2000）,Toyama,SD06,TJ,9.8,2.1,,TRUE,,15世期後半
2163,TYc086,86,仏生寺城跡（2000）,Toyama,SD06,TJ,9.2,1.9,,TRUE,,15世期後半
2164,TYc087,87,仏生寺城跡（2000）,Toyama,SD06,TJ,9,1.9,,TRUE,,15世期後半
2165,TYc088,88,仏生寺城跡（2000）,Toyama,SD06,TJ,11.6,2.3,,TRUE,,15世期後半
2166,TYc092,92,仏生寺城跡（2000）,Toyama,SD06,TJ,14,2.7,,TRUE,,15世期後半
2167,TYc095,95,仏生寺城跡（2000）,Toyama,SD06,TJ,14.1,2.8,,TRUE,,15世期後半
2168,TYc096,96,仏生寺城跡（2000）,Toyama,SD06,TJ,13.1,2.6,,TRUE,,15世期後半
2169,TYc097,97,仏生寺城跡（2000）,Toyama,SD06,TI,13.1,2.3,,TRUE,,15世期後半
2170,TYc098,98,仏生寺城跡（2000）,Toyama,SD06,TJ,12,2.3,,TRUE,,15世期後半
2171,TYc101,101,仏生寺城跡（2000）,Toyama,SD06,TJ,14.8,2.9,,TRUE,,15世期後半
2172,TYc102,102,仏生寺城跡（2000）,Toyama,SD06,TJ,16.9,3.2,,TRUE,,15世期後半
2173,TYc107,107,仏生寺城跡（2000）,Toyama,SD06,TJ,17,3.3,,TRUE,,15世期後半
2174,TYc109,109,仏生寺城跡（2000）,Toyama,SD06,TJ,8,1.6,,TRUE,,15世期後半
2175,TYc110,110,仏生寺城跡（2000）,Toyama,SD06,TJ,8.5,1.7,,TRUE,,15世期後半
2176,TYc111,111,仏生寺城跡（2000）,Toyama,SD06,TJ,7.8,1.5,,TRUE,,15世期後半
2177,TYc112,112,仏生寺城跡（2000）,Toyama,SD06,TJ,8.4,1.8,,TRUE,,15世期後半
2178,TYc113,113,仏生寺城跡（2000）,Toyama,SD06,TJ,9.8,1.5,,TRUE,,15世期後半
2179,TYc116,116,仏生寺城跡（2000）,Toyama,SD06,TJ,17,2.9,,TRUE,,15世期後半
2180,TYc118,118,仏生寺城跡（2000）,Toyama,SD06,TI,7.6,1.7,,TRUE,,15世期後半
2181,TYc120,120,仏生寺城跡（2000）,Toyama,SD06,TI,8,2,,TRUE,,15世期後半
2182,TYc121,121,仏生寺城跡（2000）,Toyama,SD06,TI,8,1.7,,TRUE,,15世期後半
2183,TYc123,123,仏生寺城跡（2000）,Toyama,SD06,TI,8.3,1.8,,TRUE,,15世期後半
2184,TYc124,124,仏生寺城跡（2000）,Toyama,SD06,TI,8.6,1.7,,TRUE,,15世期後半
2185,TYc125,125,仏生寺城跡（2000）,Toyama,SD06,TI,9,2,,TRUE,,15世期後半
2186,TYc126,126,仏生寺城跡（2000）,Toyama,SD06,TI,9.8,2.2,,TRUE,,15世期後半
2187,TYc128,128,仏生寺城跡（2000）,Toyama,SD06,TI,10.5,2.4,,TRUE,,15世期後半
2188,TYc165,165,仏生寺城跡（2000）,Toyama,SD17,TJ,8,1.5,,TRUE,,15世期後半
2189,TYc167,167,仏生寺城跡（2000）,Toyama,SD17,TJ,9.6,2,,TRUE,,15世期後半
