ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Processing_marks,Phase,inside,outside
2102,TYa2180,2180,石名田木舟遺跡,Toyama,B2-SD1168,TK,9.2,2.1,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,体部：D字ナデ、見込：指ナデ、口縁：横ナデ,口縁：横ナデ
2103,TYa2248,2248,石名田木舟遺跡,Toyama,B2-SD1278,TK,8.9,1.95,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,体部：D字ナデ、見込：指ナデ、口縁：横ナデ,口縁：横ナデ
2104,TYa2249,2249,石名田木舟遺跡,Toyama,B2-SD1278,TK,8.9,1.9,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,不明,
2105,TYa2251,2251,石名田木舟遺跡,Toyama,B2-SD1278,TK,20.9,3,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,見込：一方向ナデ・指ナデ→体部：D字ナデ→口縁：横ナデ,口縁：横ナデ
2106,TYa2286,2286,石名田木舟遺跡,Toyama,B2-SD1953,TI,8.6,2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,見込：指ナデ、体部：横ナデ（不明）、口縁：横ナデ,口縁：横ナデ
2107,TYa2287,2287,石名田木舟遺跡,Toyama,B2-SD1953,TK,9,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,見込：一方向ナデ・指ナデ→体部：横ナデ（不明）→口縁：横ナデ,口縁：横ナデ
2108,TYa2288,2288,石名田木舟遺跡,Toyama,B2-SD1953,TK,9.9,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,見込：一方向ナデ→体部：D字ナデ→口縁：横ナデ,口縁：横ナデ
2109,TYa2289,2289,石名田木舟遺跡,Toyama,B2-SD1953,TK,10.6,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,不明,
2110,TYa2356,2356,石名田木舟遺跡,Toyama,C-SD3535,TK,8,2.1,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,不明,
2111,TYa2357,2357,石名田木舟遺跡,Toyama,C-SD3535,TK,9,2.2,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,体部：D字ナデ、見込：不明、口縁：横ナデ,口縁：横ナデ
2112,TYa2358,2358,石名田木舟遺跡,Toyama,C-SD3535,TK,9.4,2.3,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,見込：一方向ナデ・指ナデ→体部：D字ナデ→口縁：横ナデ,口縁：横ナデ
2113,TYa2362,2362,石名田木舟遺跡,Toyama,C-SD3691,TK,9.2,2.4,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,体部：D字ナデ（ナデ抜ける）→見込：指ナデ、口縁：横ナデ,口縁：横ナデ
2114,TYa2363,2363,石名田木舟遺跡,Toyama,C-SD3691,TK,10.4,2.2,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,見込：一方向ナデ・指ナデ→体部：D字ナデ→口縁：横ナデ,口縁：横ナデ
2115,TYa2364,2364,石名田木舟遺跡,Toyama,C-SD3691,TI,9,2.1,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,体部：の字ナデ→見込：指ナデ、口縁：横ナデ,口縁：横ナデ
2116,TYa2365,2365,石名田木舟遺跡,Toyama,C-SD3691,TI,9.2,1.9,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,体部：の字ナデ→見込：指ナデ、口縁：横ナデ,口縁：横ナデ
2117,TYa2366,2366,石名田木舟遺跡,Toyama,C-SD3691,TK,9.6,2.3,（財）富山県文化振興財団2002,TRUE,,IS_C_2期,体部：D字ナデ、見込：指ナデ、口縁：横ナデ,口縁：横ナデ
2118,TYa2380,2380,石名田木舟遺跡,Toyama,B2-SD1985,TK,8.9,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,見込：一方向ナデ・指ナデ→体部：D字ナデ→口縁：横ナデ,口縁：横ナデ
2119,TYa2515,2515,石名田木舟遺跡,Toyama,B2-SK1843,TK,8.5,2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,見込：一方向ナデ・指ナデ、体部：横ナデ（不明）、口縁：横ナデ,口縁：横ナデ
2120,TYa2676,2676,石名田木舟遺跡,Toyama,B2-SK1441,TK,8.7,2.1,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,見込：一方向ナデ・指ナデ、体部：D字ナデ、口縁：横ナデ,口縁：横ナデ
2121,TYa2677,2677,石名田木舟遺跡,Toyama,B2-SK1441,TK,9.2,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,見込：一方向ナデ・指ナデ、体部：D字ナデ、口縁：横ナデ,口縁：横ナデ
2122,TYa2678,2678,石名田木舟遺跡,Toyama,B2-SK1441,TK,12.2,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,見込：一方向ナデ、体部：D字ナデ、口縁：横ナデ,口縁：横ナデ
2123,TYa2684,2684,石名田木舟遺跡,Toyama,B2-SK1477,TK,13.4,2.1,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,見込：一方向ナデ・指ナデ、体部：D字ナデ、口縁：横ナデ,口縁：横ナデ
2124,TYa2866,2866,石名田木舟遺跡,Toyama,B2-包含層,TK,7.9,1.9,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2125,TYa2867,2867,石名田木舟遺跡,Toyama,B2-包含層,TK,8.7,1.8,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2126,TYa2868,2868,石名田木舟遺跡,Toyama,B2-包含層,TK,9.1,2.3,（財）富山県文化振興財団2002,TRUE,,,未確認,
2127,TYa2869,2869,石名田木舟遺跡,Toyama,B2-包含層,TK,8.9,2,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2128,TYa2870,2870,石名田木舟遺跡,Toyama,B2-包含層,TK,8.9,2,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2129,TYa2872,2872,石名田木舟遺跡,Toyama,B2-包含層,TK,8.9,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2130,TYa2874,2874,石名田木舟遺跡,Toyama,B2-包含層,TK,9,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2131,TYa2875,2875,石名田木舟遺跡,Toyama,B2-包含層,TK,9,2.3,（財）富山県文化振興財団2002,TRUE,,,未確認,
2132,TYa2876,2876,石名田木舟遺跡,Toyama,B2-包含層,TK,9,2,（財）富山県文化振興財団2002,TRUE,,,未確認,
